date,portfolio_value,cash,n_positions,positions,n_buys,n_sells
2024-03-15,1019114.06934692,918315.0609088097,1,['IBIT'],0,64
2024-03-18,1017431.3241508263,1017431.3241508263,0,[],0,64
2024-03-19,1017431.3241508263,1017431.3241508263,0,[],0,64
2024-03-20,1017431.3241508263,1017431.3241508263,0,[],0,64
2024-03-21,1017431.3241508263,1017431.3241508263,0,[],0,63
2024-03-22,1017431.3241508263,1017431.3241508263,0,[],0,64
2024-03-25,1017431.3241508263,1017431.3241508263,0,[],0,64
2024-03-26,1017431.3241508263,1017431.3241508263,0,[],0,64
2024-03-27,1017431.3241508263,1017431.3241508263,0,[],0,64
2024-03-28,1017431.3241508263,1017431.3241508263,0,[],0,64
2024-04-01,1017431.3241508263,1017431.3241508263,0,[],0,62
2024-04-02,1017431.3241508263,1017431.3241508263,0,[],1,61
2024-04-03,1018842.5455613257,934018.6471314551,1,['SLV'],1,60
2024-04-04,1018019.3463463904,934018.6471314551,1,['SLV'],1,62
2024-04-05,1019871.5494866492,934018.6471314551,1,['SLV'],0,63
2024-04-08,1021140.645823014,934018.6471314551,1,['SLV'],0,62
2024-04-09,1022238.244776261,934018.6471314551,1,['SLV'],0,64
2024-04-10,1020726.86995219,1020726.86995219,0,[],1,60
2024-04-11,1020035.204177455,937328.8016734878,1,['DBA'],1,62
2024-04-12,1018003.6998723203,937364.2373059446,1,['URNM'],3,59
2024-04-15,1017174.7751620018,770753.4168093407,3,"['URNM', 'SLV', 'GLD']",0,64
2024-04-16,1014213.0306016367,1014213.0306016367,0,[],0,64
2024-04-17,1014213.0306016367,1014213.0306016367,0,[],0,64
2024-04-18,1014213.0306016367,1014213.0306016367,0,[],0,64
2024-04-19,1014213.0306016367,1014213.0306016367,0,[],0,64
2024-04-22,1014213.0306016367,1014213.0306016367,0,[],0,64
2024-04-23,1014213.0306016367,1014213.0306016367,0,[],0,64
2024-04-24,1014213.0306016367,1014213.0306016367,0,[],0,64
2024-04-25,1014213.0306016367,1014213.0306016367,0,[],0,64
2024-04-26,1014213.0306016367,1014213.0306016367,0,[],0,62
2024-04-29,1014213.0306016367,1014213.0306016367,0,[],0,64
2024-04-30,1014213.0306016367,1014213.0306016367,0,[],0,64
2024-05-01,1014213.0306016367,1014213.0306016367,0,[],0,64
2024-05-02,1014213.0306016367,1014213.0306016367,0,[],2,62
2024-05-03,1015193.6375896961,847412.6476128132,2,"['FXI', 'KWEB']",0,63
2024-05-06,1014991.421189891,931613.992820369,1,['FXI'],0,64
2024-05-07,1013880.213251369,1013880.213251369,0,[],0,64
2024-05-08,1013880.213251369,1013880.213251369,0,[],0,64
2024-05-09,1013880.213251369,1013880.213251369,0,[],0,64
2024-05-10,1013880.213251369,1013880.213251369,0,[],0,64
2024-05-13,1013880.213251369,1013880.213251369,0,[],0,64
2024-05-14,1013880.213251369,1013880.213251369,0,[],0,64
2024-05-15,1013880.213251369,1013880.213251369,0,[],0,64
2024-05-16,1013880.213251369,1013880.213251369,0,[],0,63
2024-05-17,1013880.213251369,1013880.213251369,0,[],0,64
2024-05-20,1013880.213251369,1013880.213251369,0,[],0,64
2024-05-21,1013880.213251369,1013880.213251369,0,[],0,63
2024-05-22,1013880.213251369,1013880.213251369,0,[],0,61
2024-05-23,1013880.213251369,1013880.213251369,0,[],1,61
2024-05-24,1011167.8330580076,930465.9711157164,1,['UNG'],0,63
2024-05-28,1010540.7104447102,1010540.7104447102,0,[],1,63
2024-05-29,1011760.9731094259,927128.1758224386,1,['TAN'],0,63
2024-05-30,1014250.1758224386,927128.1758224386,1,['TAN'],0,64
2024-05-31,1014076.0189444385,1014076.0189444385,0,[],1,62
2024-06-03,1013360.5745339423,930820.8559823065,1,['SMH'],0,64
2024-06-04,1013134.6820934843,1013134.6820934843,0,[],0,64
2024-06-05,1013134.6820934843,1013134.6820934843,0,[],0,62
2024-06-06,1013134.6820934843,1013134.6820934843,0,[],0,63
2024-06-07,1013134.6820934843,1013134.6820934843,0,[],0,63
