date,portfolio_value,benchmark_value,cash,n_positions,positions,n_buys,n_sells
2025-04-28,1000000.0,1053304.3250454087,1000000.0,0,[],0,125
2025-04-29,1000000.0,1053343.101542879,1000000.0,0,[],0,126
2025-04-30,1000000.0,1053652.958859555,1000000.0,0,[],0,123
2025-05-02,1000000.0,1052800.7034624103,1000000.0,0,[],0,125
2025-05-05,1000000.0,1062950.333454234,1000000.0,0,[],0,125
2025-05-06,1000000.0,1056016.079005695,1000000.0,0,[],0,126
2025-05-07,1000000.0,1056752.1231314577,1000000.0,0,[],0,124
2025-05-08,1000000.0,1049972.8564517708,1000000.0,0,[],0,125
2025-05-09,1000000.0,1040094.4255001814,1000000.0,0,[],0,123
2025-05-12,1000000.0,1080576.3795330082,1000000.0,0,[],0,125
2025-05-13,1000000.0,1067831.325073309,1000000.0,0,[],0,124
2025-05-14,1000000.0,1071395.3344307397,1000000.0,0,[],0,124
2025-05-15,1000000.0,1085341.2781017297,1000000.0,0,[],0,124
2025-05-16,1000000.0,1085496.1476495531,1000000.0,0,[],0,126
2025-05-19,1000000.0,1081622.2809754466,1000000.0,0,[],0,125
2025-05-20,1000000.0,1072635.000139501,1000000.0,0,[],0,126
2025-05-21,1000000.0,1075191.6481099057,1000000.0,0,[],0,126
2025-05-22,1000000.0,1068838.5682393059,1000000.0,0,[],0,126
2025-05-23,1000000.0,1078368.2471557204,1000000.0,0,[],0,126
2025-05-26,1000000.0,1084256.600161821,1000000.0,0,[],0,126
2025-05-27,1000000.0,1077903.4020701922,1000000.0,0,[],0,126
2025-05-28,1000000.0,1075734.0461903745,1000000.0,0,[],0,124
2025-05-29,1000000.0,1079026.8565075712,1000000.0,0,[],0,125
2025-05-30,1000000.0,1076818.7241302833,1000000.0,0,[],0,125
2025-06-02,1000000.0,1075385.4123762285,1000000.0,0,[],0,126
2025-06-03,1000000.0,1068296.1701588372,1000000.0,0,[],0,126
2025-06-04,1000000.0,1070969.147621653,1000000.0,0,[],0,125
2025-06-05,1000000.0,1077128.5814469592,1000000.0,0,[],0,126
2025-06-06,1000000.0,1086619.6020869322,1000000.0,0,[],0,126
2025-06-09,1000000.0,1089912.4124041286,1000000.0,0,[],0,126
2025-06-10,1000000.0,1090067.4001729812,1000000.0,0,[],0,125
2025-06-11,1000000.0,1091926.7805150938,1000000.0,0,[],0,126
2025-06-12,1000000.0,1080615.1560304784,1000000.0,0,[],0,123
2025-06-13,1000000.0,1073448.4790391752,1000000.0,0,[],0,125
2025-06-16,1000000.0,1083520.5560360583,1000000.0,0,[],0,125
2025-06-17,1000000.0,1079220.5025528648,1000000.0,0,[],0,125
2025-06-18,1000000.0,1077864.6255727217,1000000.0,0,[],0,125
2025-06-19,1000000.0,1076586.3015875192,1000000.0,0,[],0,125
